=== GC_1m_1789910262328.csv (5004 5m bars (aggregated), tickSize=0.1, stopRule=ZONE_SIZE_MULTIPLE(1.5), RR=1.0) ===
structure: 95 valid pullbacks, 66 TJL pairs formed, 26 flips
trades: 234 (65W / 163L / 6 flat)
totalR=-98.00 avgR=-0.42 maxDrawdownR=100.00

  2026-09-15T01:10:00Z LONG  entry=4339.80 stop=4339.50 target=4340.10 exit=4339.50 (stop) R=-1.00
  2026-09-15T01:35:00Z LONG  entry=4337.50 stop=4337.20 target=4337.80 exit=4337.20 (stop) R=-1.00
  2026-09-15T01:45:00Z LONG  entry=4340.20 stop=4339.90 target=4340.50 exit=4339.90 (stop) R=-1.00
  2026-09-15T05:20:00Z LONG  entry=4337.70 stop=4337.40 target=4338.00 exit=4337.40 (stop) R=-1.00
  2026-09-15T05:30:00Z LONG  entry=4333.40 stop=4333.10 target=4333.70 exit=4333.10 (stop) R=-1.00
  2026-09-15T05:40:00Z LONG  entry=4336.40 stop=4336.10 target=4336.70 exit=4336.10 (stop) R=-1.00
  2026-09-15T05:50:00Z LONG  entry=4335.40 stop=4335.10 target=4335.70 exit=4335.10 (stop) R=-1.00
  2026-09-15T07:50:00Z LONG  entry=4318.30 stop=4315.30 target=4321.30 exit=4315.30 (stop) R=-1.00
  2026-09-15T08:25:00Z LONG  entry=4313.80 stop=4310.80 target=4316.80 exit=4310.80 (stop) R=-1.00
  2026-09-15T10:05:00Z LONG  entry=4314.70 stop=4311.70 target=4317.70 exit=4317.70 (target) R=1.00
  2026-09-15T10:35:00Z LONG  entry=4314.10 stop=4311.10 target=4317.10 exit=4317.10 (target) R=1.00
  2026-09-15T10:45:00Z LONG  entry=4317.10 stop=4314.10 target=4320.10 exit=4320.10 (target) R=1.00
  2026-09-15T12:05:00Z LONG  entry=4317.60 stop=4314.60 target=4320.60 exit=4314.60 (stop) R=-1.00
  2026-09-15T12:25:00Z LONG  entry=4317.60 stop=4314.60 target=4320.60 exit=4314.60 (stop) R=-1.00
  2026-09-15T12:40:00Z LONG  entry=4321.20 stop=4318.20 target=4324.20 exit=4324.20 (target) R=1.00
  2026-09-15T13:50:00Z LONG  entry=4335.30 stop=4335.00 target=4335.60 exit=4335.00 (stop) R=-1.00
  2026-09-15T14:00:00Z LONG  entry=4334.70 stop=4334.40 target=4335.00 exit=4334.40 (stop) R=-1.00
  2026-09-15T14:10:00Z LONG  entry=4334.50 stop=4334.20 target=4334.80 exit=4334.20 (stop) R=-1.00
  2026-09-15T14:35:00Z LONG  entry=4317.60 stop=4314.60 target=4320.60 exit=4320.60 (target) R=1.00
  2026-09-15T14:50:00Z LONG  entry=4320.10 stop=4317.10 target=4323.10 exit=4317.10 (stop) R=-1.00
  2026-09-15T15:00:00Z LONG  entry=4322.80 stop=4319.80 target=4325.80 exit=4325.80 (target) R=1.00
  2026-09-15T16:20:00Z LONG  entry=4336.20 stop=4335.90 target=4336.50 exit=4335.90 (stop) R=-1.00
  2026-09-15T16:30:00Z LONG  entry=4333.20 stop=4332.90 target=4333.50 exit=4332.90 (stop) R=-1.00
  2026-09-15T16:40:00Z LONG  entry=4336.80 stop=4336.50 target=4337.10 exit=4336.50 (stop) R=-1.00
  2026-09-15T16:50:00Z LONG  entry=4337.70 stop=4337.40 target=4338.00 exit=4337.40 (stop) R=-1.00
  2026-09-15T17:00:00Z LONG  entry=4331.70 stop=4331.40 target=4332.00 exit=4331.40 (stop) R=-1.00
  2026-09-15T17:10:00Z LONG  entry=4335.40 stop=4335.10 target=4335.70 exit=4335.10 (stop) R=-1.00
  2026-09-15T17:20:00Z LONG  entry=4333.40 stop=4333.10 target=4333.70 exit=4333.10 (stop) R=-1.00
  2026-09-15T17:30:00Z LONG  entry=4337.80 stop=4337.50 target=4338.10 exit=4337.50 (stop) R=-1.00
  2026-09-15T17:50:00Z LONG  entry=4335.70 stop=4335.40 target=4336.00 exit=4335.40 (stop) R=-1.00
  2026-09-15T18:05:00Z LONG  entry=4336.80 stop=4336.50 target=4337.10 exit=4336.50 (stop) R=-1.00
  2026-09-15T19:40:00Z LONG  entry=4336.40 stop=4336.10 target=4336.70 exit=4336.10 (stop) R=-1.00
  2026-09-15T19:50:00Z LONG  entry=4336.20 stop=4335.90 target=4336.50 exit=4335.90 (stop) R=-1.00
  2026-09-15T20:00:00Z LONG  entry=4336.00 stop=4335.70 target=4336.30 exit=4335.70 (stop) R=-1.00
  2026-09-15T20:10:00Z LONG  entry=4336.10 stop=4335.80 target=4336.40 exit=4335.80 (stop) R=-1.00
  2026-09-15T22:25:00Z LONG  entry=4339.00 stop=4338.70 target=4339.30 exit=4338.70 (stop) R=-1.00
  2026-09-15T22:40:00Z LONG  entry=4335.40 stop=4335.10 target=4335.70 exit=4335.10 (stop) R=-1.00
